Score
130.0
135.0
185.0
105.0
105.0
120.0
210.0
135.0
215.0
20.0
60.0
165.0
140.0
210.0
40.0
210.0
130.0
70.0
110.0
55.0
135.0
80.0
90.0
80.0
185.0
10.0
115.0
90.0
185.0
65.0
15.0
180.0
120.0
120.0
120.0
555.0
165.0
215.0
135.0
45.0
390.0
110.0
205.0
120.0
135.0
110.0
185.0
205.0
60.0
155.0
105.0
345.0
135.0
215.0
75.0
90.0
75.0
100.0
680.0
425.0
110.0
30.0
95.0
105.0
80.0
120.0
90.0
105.0
315.0
30.0
70.0
90.0
380.0
240.0
75.0
80.0
100.0
60.0
110.0
105.0
135.0
80.0
290.0
120.0
145.0
135.0
110.0
75.0
110.0
180.0
295.0
55.0
55.0
105.0
110.0
80.0
65.0
50.0
70.0
75.0
330.0
285.0
95.0
285.0
80.0
170.0
80.0
520.0
90.0
210.0
90.0
225.0
80.0
50.0
560.0
255.0
165.0
210.0
150.0
315.0
105.0
245.0
20.0
80.0
60.0
45.0
530.0
160.0
260.0
175.0
180.0
380.0
370.0
665.0
110.0
180.0
355.0
150.0
95.0
95.0
610.0
40.0
330.0
270.0
155.0
200.0
200.0
165.0
95.0
50.0
300.0
135.0
75.0
230.0
65.0
245.0
300.0
500.0
225.0
35.0
205.0
185.0
50.0
125.0
240.0
40.0
85.0
430.0
125.0
135.0
100.0
45.0
230.0
60.0
65.0
235.0
70.0
50.0
125.0
185.0
655.0
200.0
340.0
365.0
180.0
40.0
245.0
235.0
135.0
205.0
285.0
180.0
160.0
155.0
345.0
220.0
500.0
135.0
415.0
105.0
220.0
30.0
135.0
